Plataforma,Dirección,Zona,Tipo,Descripción
rappi,Iztapalapa Centro - Popular,popular,promotion,Envío gratis en pedidos +$200
rappi,Iztapalapa Centro - Popular,popular,promotion,20% de descuento en tu primer pedido
rappi,Iztapalapa Centro - Popular,popular,promotion,Rappi Prime: envío gratis ilimitado
rappi,Tepito - Popular,popular,promotion,20% de descuento en tu primer pedido
rappi,Ciudad Neza - Periférica,peripheral,promotion,$50 de descuento con código RAPPI50
rappi,Ciudad Neza - Periférica,peripheral,promotion,2x1 en combos seleccionados
rappi,Ciudad Neza - Periférica,peripheral,promotion,20% de descuento en tu primer pedido
rappi,Ecatepec - Periférica,peripheral,promotion,Envío gratis en pedidos +$200
rappi,Ecatepec - Periférica,peripheral,promotion,2x1 en combos seleccionados
rappi,Ecatepec - Periférica,peripheral,promotion,$50 de descuento con código RAPPI50
rappi,Ecatepec - Periférica,peripheral,promotion,Rappi Prime: envío gratis ilimitado
rappi,Satélite - Clase Media Alta,middle_high,promotion,Envío gratis en pedidos +$200
rappi,Satélite - Clase Media Alta,middle_high,promotion,$50 de descuento con código RAPPI50
rappi,Interlomas - Alto Ingreso,premium,promotion,$50 de descuento con código RAPPI50
rappi,Interlomas - Alto Ingreso,premium,promotion,2x1 en combos seleccionados
rappi,Universidad - Estudiantil,university,promotion,2x1 en combos seleccionados
rappi,Universidad - Estudiantil,university,promotion,Rappi Prime: envío gratis ilimitado
rappi,Universidad - Estudiantil,university,promotion,Envío gratis en pedidos +$200
rappi,Universidad - Estudiantil,university,promotion,20% de descuento en tu primer pedido
rappi,IPN Zacatenco - Estudiantil,university,promotion,2x1 en combos seleccionados
rappi,IPN Zacatenco - Estudiantil,university,promotion,Rappi Prime: envío gratis ilimitado
rappi,IPN Zacatenco - Estudiantil,university,promotion,Envío gratis en pedidos +$200
rappi,Azcapotzalco - Clase Media Baja,popular,promotion,Envío gratis en pedidos +$200
rappi,Azcapotzalco - Clase Media Baja,popular,promotion,Rappi Prime: envío gratis ilimitado
rappi,Azcapotzalco - Clase Media Baja,popular,promotion,2x1 en combos seleccionados
rappi,Azcapotzalco - Clase Media Baja,popular,promotion,$50 de descuento con código RAPPI50
rappi,Xochimilco - Periférica,peripheral,promotion,Rappi Prime: envío gratis ilimitado
rappi,Xochimilco - Periférica,peripheral,promotion,$50 de descuento con código RAPPI50
rappi,Xochimilco - Periférica,peripheral,promotion,20% de descuento en tu primer pedido
rappi,Tacubaya - Clase Media,middle,promotion,Envío gratis en pedidos +$200
rappi,Mixcoac - Clase Media,middle,promotion,$50 de descuento con código RAPPI50
rappi,Mixcoac - Clase Media,middle,promotion,20% de descuento en tu primer pedido
rappi,Mixcoac - Clase Media,middle,promotion,Rappi Prime: envío gratis ilimitado
rappi,Mixcoac - Clase Media,middle,promotion,2x1 en combos seleccionados
rappi,Tláhuac - Periférica,peripheral,promotion,20% de descuento en tu primer pedido
rappi,Tláhuac - Periférica,peripheral,promotion,$50 de descuento con código RAPPI50
rappi,Tláhuac - Periférica,peripheral,promotion,Envío gratis en pedidos +$200
rappi,Tláhuac - Periférica,peripheral,promotion,2x1 en combos seleccionados
rappi,Cuajimalpa - Clase Media Alta,middle_high,promotion,Envío gratis en pedidos +$200
rappi,Cuajimalpa - Clase Media Alta,middle_high,promotion,2x1 en combos seleccionados
uber_eats,Polanco - Alto Ingreso,premium,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Polanco - Alto Ingreso,premium,promotion,$40 off con Uber One
uber_eats,Polanco - Alto Ingreso,premium,promotion,Buy 1 Get 1 Free en combos
uber_eats,Polanco - Alto Ingreso,premium,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Polanco - Alto Ingreso,premium,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Polanco - Alto Ingreso,premium,promotion,2x1 en McFlurry
uber_eats,Condesa - Alto Ingreso,premium,promotion,$40 off con Uber One
uber_eats,Condesa - Alto Ingreso,premium,promotion,Buy 1 Get 1 Free en combos
uber_eats,Condesa - Alto Ingreso,premium,promotion,2x1 en McFlurry
uber_eats,Condesa - Alto Ingreso,premium,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Roma Norte - Alto Ingreso,premium,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Roma Norte - Alto Ingreso,premium,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Roma Norte - Alto Ingreso,premium,promotion,Buy 1 Get 1 Free en combos
uber_eats,Roma Norte - Alto Ingreso,premium,promotion,$40 off con Uber One
uber_eats,Santa Fe - Alto Ingreso/Corporativo,premium,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Santa Fe - Alto Ingreso/Corporativo,premium,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Santa Fe - Alto Ingreso/Corporativo,premium,promotion,Buy 1 Get 1 Free en combos
uber_eats,Santa Fe - Alto Ingreso/Corporativo,premium,promotion,2x1 en McFlurry
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,promotion,2x1 en McFlurry
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,promotion,$40 off con Uber One
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,promotion,Buy 1 Get 1 Free en combos
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Del Valle Centro - Clase Media Alta,middle_high,promotion,$40 off con Uber One
uber_eats,Del Valle Centro - Clase Media Alta,middle_high,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Del Valle Centro - Clase Media Alta,middle_high,promotion,2x1 en McFlurry
uber_eats,Del Valle Centro - Clase Media Alta,middle_high,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Del Valle Centro - Clase Media Alta,middle_high,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Narvarte - Clase Media,middle,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Narvarte - Clase Media,middle,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Narvarte - Clase Media,middle,promotion,Buy 1 Get 1 Free en combos
uber_eats,Narvarte - Clase Media,middle,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Narvarte - Clase Media,middle,promotion,$40 off con Uber One
uber_eats,Coyoacán Centro - Clase Media,middle,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Coyoacán Centro - Clase Media,middle,promotion,2x1 en McFlurry
uber_eats,Coyoacán Centro - Clase Media,middle,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Coyoacán Centro - Clase Media,middle,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Tlalpan Centro - Clase Media,middle,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Tlalpan Centro - Clase Media,middle,promotion,2x1 en McFlurry
uber_eats,Tlalpan Centro - Clase Media,middle,promotion,$40 off con Uber One
uber_eats,Coapa - Clase Media,middle,promotion,$40 off con Uber One
uber_eats,Coapa - Clase Media,middle,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Coapa - Clase Media,middle,promotion,Buy 1 Get 1 Free en combos
uber_eats,Coapa - Clase Media,middle,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Reforma - Zona de Oficinas,business,promotion,Buy 1 Get 1 Free en combos
uber_eats,Reforma - Zona de Oficinas,business,promotion,$40 off con Uber One
uber_eats,Reforma - Zona de Oficinas,business,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Reforma - Zona de Oficinas,business,promotion,2x1 en McFlurry
uber_eats,Reforma - Zona de Oficinas,business,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Insurgentes Sur - Zona de Oficinas,business,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Insurgentes Sur - Zona de Oficinas,business,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Insurgentes Sur - Zona de Oficinas,business,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Centro Histórico,commercial,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Centro Histórico,commercial,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Centro Histórico,commercial,promotion,Buy 1 Get 1 Free en combos
uber_eats,Centro Histórico,commercial,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Centro Histórico,commercial,promotion,$40 off con Uber One
uber_eats,Zona Rosa,commercial,promotion,2x1 en McFlurry
uber_eats,Zona Rosa,commercial,promotion,Buy 1 Get 1 Free en combos
uber_eats,Lindavista - Clase Media,middle,promotion,$40 off con Uber One
uber_eats,Lindavista - Clase Media,middle,promotion,Buy 1 Get 1 Free en combos
uber_eats,Lindavista - Clase Media,middle,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Lindavista - Clase Media,middle,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Lindavista - Clase Media,middle,promotion,2x1 en McFlurry
uber_eats,Lindavista - Clase Media,middle,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Pedregal - Alto Ingreso,premium,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Pedregal - Alto Ingreso,premium,promotion,2x1 en McFlurry
uber_eats,Pedregal - Alto Ingreso,premium,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Pedregal - Alto Ingreso,premium,promotion,Buy 1 Get 1 Free en combos
uber_eats,Iztapalapa Centro - Popular,popular,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Iztapalapa Centro - Popular,popular,promotion,Buy 1 Get 1 Free en combos
uber_eats,Iztapalapa Centro - Popular,popular,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Iztapalapa Centro - Popular,popular,promotion,2x1 en McFlurry
uber_eats,Iztapalapa Centro - Popular,popular,promotion,$40 off con Uber One
uber_eats,Tepito - Popular,popular,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Tepito - Popular,popular,promotion,Buy 1 Get 1 Free en combos
uber_eats,Tepito - Popular,popular,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Ciudad Neza - Periférica,peripheral,promotion,Buy 1 Get 1 Free en combos
uber_eats,Ciudad Neza - Periférica,peripheral,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Ciudad Neza - Periférica,peripheral,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Ciudad Neza - Periférica,peripheral,promotion,2x1 en McFlurry
uber_eats,Ciudad Neza - Periférica,peripheral,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Ecatepec - Periférica,peripheral,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Ecatepec - Periférica,peripheral,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Satélite - Clase Media Alta,middle_high,promotion,2x1 en McFlurry
uber_eats,Satélite - Clase Media Alta,middle_high,promotion,Buy 1 Get 1 Free en combos
uber_eats,Satélite - Clase Media Alta,middle_high,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Satélite - Clase Media Alta,middle_high,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Satélite - Clase Media Alta,middle_high,promotion,$40 off con Uber One
uber_eats,Interlomas - Alto Ingreso,premium,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Interlomas - Alto Ingreso,premium,promotion,$40 off con Uber One
uber_eats,Interlomas - Alto Ingreso,premium,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Interlomas - Alto Ingreso,premium,promotion,2x1 en McFlurry
uber_eats,Interlomas - Alto Ingreso,premium,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Universidad - Estudiantil,university,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Universidad - Estudiantil,university,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Universidad - Estudiantil,university,promotion,Buy 1 Get 1 Free en combos
uber_eats,Universidad - Estudiantil,university,promotion,$40 off con Uber One
uber_eats,Universidad - Estudiantil,university,promotion,2x1 en McFlurry
uber_eats,IPN Zacatenco - Estudiantil,university,promotion,Uber One: 5% de descuento + envío $0
uber_eats,IPN Zacatenco - Estudiantil,university,promotion,Envío gratis en restaurantes seleccionados
uber_eats,IPN Zacatenco - Estudiantil,university,promotion,2x1 en McFlurry
uber_eats,IPN Zacatenco - Estudiantil,university,promotion,Buy 1 Get 1 Free en combos
uber_eats,IPN Zacatenco - Estudiantil,university,promotion,$40 off con Uber One
uber_eats,IPN Zacatenco - Estudiantil,university,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Azcapotzalco - Clase Media Baja,popular,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Azcapotzalco - Clase Media Baja,popular,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Azcapotzalco - Clase Media Baja,popular,promotion,$40 off con Uber One
uber_eats,Azcapotzalco - Clase Media Baja,popular,promotion,Buy 1 Get 1 Free en combos
uber_eats,Xochimilco - Periférica,peripheral,promotion,Buy 1 Get 1 Free en combos
uber_eats,Xochimilco - Periférica,peripheral,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Xochimilco - Periférica,peripheral,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Xochimilco - Periférica,peripheral,promotion,2x1 en McFlurry
uber_eats,Tacubaya - Clase Media,middle,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Tacubaya - Clase Media,middle,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Tacubaya - Clase Media,middle,promotion,2x1 en McFlurry
uber_eats,Tacubaya - Clase Media,middle,promotion,30% off tu próximo pedido (máx $80)
uber_eats,Tacubaya - Clase Media,middle,promotion,$40 off con Uber One
uber_eats,Mixcoac - Clase Media,middle,promotion,Buy 1 Get 1 Free en combos
uber_eats,Mixcoac - Clase Media,middle,promotion,2x1 en McFlurry
uber_eats,Tláhuac - Periférica,peripheral,promotion,Envío gratis en restaurantes seleccionados
uber_eats,Tláhuac - Periférica,peripheral,promotion,2x1 en McFlurry
uber_eats,Tláhuac - Periférica,peripheral,promotion,Uber One: 5% de descuento + envío $0
uber_eats,Tláhuac - Periférica,peripheral,promotion,Buy 1 Get 1 Free en combos
uber_eats,Cuajimalpa - Clase Media Alta,middle_high,promotion,$40 off con Uber One
uber_eats,Cuajimalpa - Clase Media Alta,middle_high,promotion,Envío gratis en restaurantes seleccionados
didi_food,Polanco - Alto Ingreso,premium,promotion,Envío gratis primera compra
didi_food,Roma Norte - Alto Ingreso,premium,promotion,Envío gratis primera compra
didi_food,Roma Norte - Alto Ingreso,premium,promotion,Combo especial desde $89
didi_food,Roma Norte - Alto Ingreso,premium,promotion,15% descuento cupón DIDI15
didi_food,Santa Fe - Alto Ingreso/Corporativo,premium,promotion,Combo especial desde $89
didi_food,Santa Fe - Alto Ingreso/Corporativo,premium,promotion,15% descuento cupón DIDI15
didi_food,Lomas de Chapultepec - Alto Ingreso,premium,promotion,Combo especial desde $89
didi_food,Lomas de Chapultepec - Alto Ingreso,premium,promotion,Envío gratis primera compra
didi_food,Del Valle Centro - Clase Media Alta,middle_high,promotion,Envío gratis primera compra
didi_food,Del Valle Centro - Clase Media Alta,middle_high,promotion,Combo especial desde $89
didi_food,Coyoacán Centro - Clase Media,middle,promotion,Envío gratis primera compra
didi_food,Tlalpan Centro - Clase Media,middle,promotion,Envío gratis primera compra
didi_food,Tlalpan Centro - Clase Media,middle,promotion,15% descuento cupón DIDI15
didi_food,Coapa - Clase Media,middle,promotion,Envío gratis primera compra
didi_food,Coapa - Clase Media,middle,promotion,Combo especial desde $89
didi_food,Insurgentes Sur - Zona de Oficinas,business,promotion,Envío gratis primera compra
didi_food,Insurgentes Sur - Zona de Oficinas,business,promotion,Combo especial desde $89
didi_food,Centro Histórico,commercial,promotion,Envío gratis primera compra
didi_food,Pedregal - Alto Ingreso,premium,promotion,Envío gratis primera compra
didi_food,Iztapalapa Centro - Popular,popular,promotion,Combo especial desde $89
didi_food,Iztapalapa Centro - Popular,popular,promotion,15% descuento cupón DIDI15
didi_food,Iztapalapa Centro - Popular,popular,promotion,Envío gratis primera compra
didi_food,Ciudad Neza - Periférica,peripheral,promotion,15% descuento cupón DIDI15
didi_food,Ecatepec - Periférica,peripheral,promotion,Combo especial desde $89
didi_food,Ecatepec - Periférica,peripheral,promotion,15% descuento cupón DIDI15
didi_food,Satélite - Clase Media Alta,middle_high,promotion,15% descuento cupón DIDI15
didi_food,Interlomas - Alto Ingreso,premium,promotion,Combo especial desde $89
didi_food,Interlomas - Alto Ingreso,premium,promotion,15% descuento cupón DIDI15
didi_food,Interlomas - Alto Ingreso,premium,promotion,Envío gratis primera compra
didi_food,Xochimilco - Periférica,peripheral,promotion,Combo especial desde $89
didi_food,Tacubaya - Clase Media,middle,promotion,Envío gratis primera compra
didi_food,Tacubaya - Clase Media,middle,promotion,Combo especial desde $89
didi_food,Cuajimalpa - Clase Media Alta,middle_high,promotion,15% descuento cupón DIDI15
didi_food,Cuajimalpa - Clase Media Alta,middle_high,promotion,Combo especial desde $89
